phone_uses_hrs,eye_contact,talkative,attendance_percent,study_hrs,attentive,,,,,,,,
2,yes,yes,65,5,yes,,,,,,,,
3,no,yes,45,3,no,,,,,,,,
4,no,yes,32,2,yes,,,,,,,,
5,yes,yes,55,8,no,,,,,,,,
6,no,no,44,6,yes,,,,,,,,
7,yes,no,67,2,no,,,,,,,,
5,yes,yes,86,4,yes,,,,,,,,
3,no,no,35,6,no,,,,,,,,
4,no,yes,66,2,yes,,,,,,,,
8,no,no,40,5,no,,,,,,,,
4,yes,no,65,4,yes,,,,,,,,
3,yes,no,45,3,no,,,,,,,,
5,yes,yes,32,1,yes,,,,,,,,
8,no,yes,55,1,no,,,,,,,,
6,yes,no,44,5,yes,,,,,,,,
6,no,no,67,1,no,,,,,,,,
2,yes,no,86,5,yes,,,,,,,,
8,yes,yes,35,1,no,,,,,,,,
5,no,yes,66,2,yes,,,,,,,,
